"vOTU","GENOME_LENGTH","CHECKV_QUALITY","LIFE_CYCLE","TOTAL_METAGENOME_PRESENCE","METATRANSCRIPTOME_PRESENCE","DNA_VIROME_PRESENCE","HOST_GENBANK_ACCESSION","HOST_GENUS","HOST_NAME","VC","SUBCLUSTER","REF_PHAGES_IN_VC","VC_IDENTITY","FAMILY","SPECIES","C1RH","C1S","C2RH","C2S","C3RH","C3S","C4RH","C4S","V1RH","V1S","V2RH","V2S","V3RH","V3S","V4RH","V4S"
"dsDNA_phage_276",12456,"Low-quality","LYTIC",0,0,1,NA,NA,NA,973,0,"NO","VC",NA,NA,0,0,0,0,0,0,1269,0,0,0,0,0,0,0,0,0
"dsDNA_phage_277",11070,"Low-quality","LYTIC",0,0,1,"GCA_001942025.1","Rhodococcus","Rhodococcus sp. YL-1",1270,0,"YES","VC","Siphoviridae",NA,0,208,0,0,0,0,162,0,499,122,187,425,933,0,0,122
"dsDNA_phage_278",11035,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0
"dsDNA_phage_279",11569,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2411,0,0,0,0
"dsDNA_phage_28",13685,"Low-quality","LYTIC",1,0,0,"GCA_002777535.1","Streptomyces","Streptomyces peucetius subsp. caesius ATCC 27952",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0
"dsDNA_phage_280",26092,"Low-quality","LYTIC",0,0,1,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",1479,0,"NO","VC",NA,NA,0,0,1423,0,2448,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_281",17445,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",1484,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_282",40199,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,7204,0,0,0,0
"dsDNA_phage_283",23505,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,6415,0,0,0,0
"dsDNA_phage_284",10794,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0
"dsDNA_phage_285",10414,"Low-quality","LYTIC",0,0,1,"GCA_001263205.1","Labilithrix","Labilithrix luteola",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,684,0,178,0,392,0,0,0
"dsDNA_phage_286",20296,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1129,0,"NO","VC",NA,NA,0,1133,0,0,0,0,0,0,0,0,0,34259,0,0,0,0
"dsDNA_phage_287",17080,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_288",10708,"Not-determined","LYTIC",0,0,1,"GCA_001579805.1","Pseudomonas","Pseudomonas azotoformans",NA,NA,NA,NA,NA,NA,0,363,0,0,0,0,0,0,0,0,0,9156,0,0,0,0
"dsDNA_phage_289",25688,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1491,0,"NO","VC",NA,NA,0,0,0,0,0,0,4616,0,0,0,0,0,0,0,0,0
"dsDNA_phage_29",12005,"Low-quality","LYTIC",1,0,0,"GCA_001263205.1","Labilithrix","Labilithrix luteola",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0
"dsDNA_phage_290",11005,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,889,0,0,0,0,0,0,0,0,0
"dsDNA_phage_291",24801,"Not-determined","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_292",10400,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_293",12380,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0
"dsDNA_phage_294",15186,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0
"dsDNA_phage_295",13848,"Low-quality","LYTIC",0,0,1,NA,NA,NA,989,0,"NO","VC",NA,NA,0,718,0,0,0,0,0,0,670,0,0,11904,0,0,0,0
"dsDNA_phage_296",10789,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_297",13750,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2027,0,0,0,0
"dsDNA_phage_298",27309,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1648,0,14040,0,0,0,0,0,0,0,0,0
"dsDNA_phage_299",28209,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1418,0,"NO","VC",NA,NA,0,1231,0,0,0,0,0,0,0,0,0,33337,0,0,0,0
"dsDNA_phage_3",10651,"Not-determined","LYTIC",1,0,0,"GCA_000418325.1","Sorangium","Sorangium cellulosum So0157-2",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0
"dsDNA_phage_30",23807,"Low-quality","LYTIC",1,0,0,"GCA_001618865.1","Luteitalea","Luteitalea pratensis",1171,0,"NO","OUTLIER",NA,NA,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_300",12112,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,10008,0,0,0,0
"dsDNA_phage_301",13365,"Low-quality","LYTIC",0,0,1,"GCA_000599545.1","Rhodococcus","Rhodococcus opacus PD630",973,0,"NO","VC",NA,NA,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0
"dsDNA_phage_302",10149,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_303",14709,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1418,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,26259,0,0,0,0
"dsDNA_phage_304",10748,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,162,0,"NO","VC",NA,NA,0,1071,0,0,0,0,0,0,2129,0,89,0,0,0,0,0
"dsDNA_phage_305",45643,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,1048,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,5196,0,0,0,0,0,0,0,0,0
"dsDNA_phage_306",12493,"Low-quality","LYTIC",0,0,1,"GCA_001310225.1","Algibacter","Algibacter alginicilyticus",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0
"dsDNA_phage_307",26305,"Low-quality","LYTIC",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,697,0,328,0,1683,0,10347,0,0,0,0,0,0,0,0,0
"dsDNA_phage_308",14018,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0
"dsDNA_phage_309",93629,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,130,1,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,1051211,7616,124698,0,2077,0,0,0
"dsDNA_phage_31",13968,"Not-determined","LYTIC",1,0,0,"GCA_001618865.1","Luteitalea","Luteitalea pratensis",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_310",18976,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",1468,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,5698,0,0,0,0
"dsDNA_phage_311",11543,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1439,0,0,0,0
"dsDNA_phage_312",16606,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3248,0,0,0,0
"dsDNA_phage_313",12181,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0
"dsDNA_phage_314",17059,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0
"dsDNA_phage_315",11222,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,197,0,0,0,0,0,0,0,0,0,3519,0,0,0,0
"dsDNA_phage_316",14016,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1303,0,127,0,0,0,0,0
"dsDNA_phage_317",11634,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",1261,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_318",16984,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",1476,0,"NO","OUTLIER",NA,NA,0,104,0,0,0,0,0,0,0,0,0,1772,0,0,0,0
"dsDNA_phage_319",11034,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0
"dsDNA_phage_32",29527,"Low-quality","LYTIC",1,0,0,"GCA_000816465.4","Streptomyces","Streptomyces pluripotens",NA,NA,NA,NA,NA,NA,0,0,0,540,0,0,0,0,321,0,0,0,342,428,494,355
"dsDNA_phage_320",13233,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1197,0,0,0
"dsDNA_phage_321",12660,"Not-determined","LYTIC",0,0,1,"GCA_001263205.1","Labilithrix","Labilithrix luteola",1475,0,"NO","VC",NA,NA,0,0,0,0,113,0,344,0,0,0,0,0,0,0,0,0
"dsDNA_phage_322",14065,"Low-quality","LYTIC",0,0,1,NA,NA,NA,607,0,"YES","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,164,0,516,0,0,0
"dsDNA_phage_323",11974,"Low-quality","LYTIC",0,0,1,"GCA_002215215.1","Granulosicoccus","Granulosicoccus antarcticus IMCC3135",162,0,"NO","VC",NA,NA,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_324",12901,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_325",11186,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4355,0,0,0,0
"dsDNA_phage_326",11304,"Low-quality","TEMPERATE",0,0,1,"GCA_002021875.1","Streptomyces","Streptomyces hygroscopicus",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0
"dsDNA_phage_327",10078,"Low-quality","LYTIC",0,0,1,"GCA_000024025.1","Catenulispora","Catenulispora acidiphila DSM 44928",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0
"dsDNA_phage_328",36342,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,8682,0,480,0,0,0,0,0
"dsDNA_phage_329",36032,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10165,0,1137,0,0,0,0,0
"dsDNA_phage_33",52201,"Low-quality","LYTIC",1,0,0,NA,NA,NA,1492,0,"NO","VC",NA,NA,2570,0,650,0,0,0,0,0,0,0,1287,0,824,0,0,0
"dsDNA_phage_330",10720,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0
"dsDNA_phage_331",12864,"Not-determined","LYTIC",0,0,1,"GCA_001579805.1","Pseudomonas","Pseudomonas azotoformans",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_332",19427,"Low-quality","LYTIC",0,0,1,"GCA_000092885.1","Burkholderia","Burkholderia sp. CCGE1002",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0
"dsDNA_phage_333",10279,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1841,0,0,0,0
"dsDNA_phage_334",18080,"Not-determined","LYTIC",0,0,1,"GCA_000963495.1","Pseudomonas","Pseudomonas fluorescens PICF7",1485,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,2511,0,0,0,0
"dsDNA_phage_335",11279,"Not-determined","LYTIC",0,0,1,"GCA_001708465.1","Pseudomonas","Pseudomonas fluorescens",1487,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,4713,0,0,0,0
"dsDNA_phage_336",15957,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,10465,0,0,0,0
"dsDNA_phage_337",26204,"Not-determined","LYTIC",0,0,1,"GCA_002028325.1","Pseudomonas","Pseudomonas veronii",1480,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,9707,0,0,0,0
"dsDNA_phage_338",38805,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,468,0,"YES","VC","Siphoviridae",NA,0,0,0,0,0,0,0,0,0,0,0,0,3507,0,0,0
"dsDNA_phage_339",10842,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0
"dsDNA_phage_34",34643,"Low-quality","TEMPERATE",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_340",11714,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0
"dsDNA_phage_341",26288,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,593,8945,0,1200,0,861,0,0,0,0,0,0,0,0,0
"dsDNA_phage_342",20540,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1493,0,"NO","VC",NA,NA,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0
"dsDNA_phage_343",10858,"Not-determined","LYTIC",0,0,1,"GCA_001708465.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4082,0,0,0,0
"dsDNA_phage_344",23851,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8333,0,0,0,0,0,0,0,0,0
"dsDNA_phage_345",15940,"Low-quality","LYTIC",0,0,1,"GCA_002222635.1","Sulfitobacter","Sulfitobacter pseudonitzschiae",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0
"dsDNA_phage_346",40911,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",1468,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,9282,0,0,0,0
"dsDNA_phage_347",13382,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1359,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1362,0,0,0
"dsDNA_phage_348",36737,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1616,0,0,0,4055,0,314,0,1220,0,0,0
"dsDNA_phage_349",10055,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_35",75109,"Low-quality","LYTIC",1,0,0,NA,NA,NA,167,0,"NO","VC",NA,NA,3688,0,1024,0,0,0,0,0,0,0,1756,0,1222,0,0,0
"dsDNA_phage_350",19908,"Not-determined","LYTIC",0,0,1,"GCA_000293885.3","Pseudomonas","Pseudomonas fluorescens NCIMB 11764",1494,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_351",17750,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1186,0,0,0,0
"dsDNA_phage_352",11046,"Low-quality","TEMPERATE",0,0,1,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",NA,NA,NA,NA,NA,NA,0,0,0,0,181,0,365,0,0,0,0,0,0,0,0,0
"dsDNA_phage_353",27879,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5086,0,0,0,0,0,0,0,0,0
"dsDNA_phage_354",14912,"Low-quality","LYTIC",0,0,1,"GCA_002257585.1","Mucilaginibacter","Mucilaginibacter sp. BJC16-A31",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1099,0,0,0
"dsDNA_phage_355",23522,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1805,974,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_356",17739,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0
"dsDNA_phage_357",10596,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,344,0,0,0,0,331,0,0,0,0
"dsDNA_phage_358",10362,"Not-determined","LYTIC",0,0,1,"GCA_001708465.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,276,0,0,0,0,0,0,0,0,0,6043,0,0,0,0
"dsDNA_phage_359",27233,"Low-quality","LYTIC",0,0,1,"GCA_001579785.1","Clostridium","Clostridium perfringens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1986,0,0,0
"dsDNA_phage_36",19649,"Low-quality","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0
"dsDNA_phage_360",22145,"Not-determined","LYTIC",0,0,1,"GCA_001579805.1","Pseudomonas","Pseudomonas azotoformans",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3709,0,0,0,0
"dsDNA_phage_361",10133,"Not-determined","LYTIC",0,0,1,"GCA_001708485.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,321,0,0,0,0,0,0,0,0,0,8744,0,0,0,0
"dsDNA_phage_362",12748,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1495,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_363",16600,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_364",13255,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1469,0,"NO","VC",NA,NA,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0
"dsDNA_phage_365",11992,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0
"dsDNA_phage_366",20062,"Low-quality","LYTIC",0,0,1,NA,NA,NA,990,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,62999,0,0,0,0
"dsDNA_phage_367",12096,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,394,0,213,0,0,0,0,0
"dsDNA_phage_368",11393,"Low-quality","LYTIC",0,0,1,"GCA_000016645.1","Flavobacterium","Flavobacterium johnsoniae UW101",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0
"dsDNA_phage_369",12745,"Low-quality","LYTIC",0,0,1,"GCA_001579805.1","Pseudomonas","Pseudomonas azotoformans",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0
"dsDNA_phage_37",143631,"Medium-quality","TEMPERATE",1,0,0,NA,NA,NA,167,1,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,2849,0,6083,0,0,0
"dsDNA_phage_370",10881,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,661,0,207,0,514,0,0,0
"dsDNA_phage_371",11354,"Not-determined","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,0
"dsDNA_phage_372",10656,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,468,0,0,261,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_373",27436,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2438,4193,0,39436,0,0,0
"dsDNA_phage_374",13566,"Not-determined","LYTIC",0,0,1,"GCA_001708465.1","Pseudomonas","Pseudomonas fluorescens",1496,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,4789,0,0,0,0
"dsDNA_phage_375",14275,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0
"dsDNA_phage_376",32618,"Low-quality","LYTIC",0,0,1,"GCA_000299355.1","Gottschalkia","Gottschalkia acidurici 9a",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2583,0,0,0
"dsDNA_phage_377",10019,"Not-determined","LYTIC",0,0,1,"GCA_002028325.1","Pseudomonas","Pseudomonas veronii",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4151,0,0,0,0
"dsDNA_phage_378",39189,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,8506,0,736,0,0,0,0,0
"dsDNA_phage_379",10728,"Low-quality","LYTIC",0,0,1,"GCA_001742225.1","Novosphingobium","Novosphingobium resinovorum",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0
"dsDNA_phage_38",11953,"Not-determined","TEMPERATE",1,0,0,"GCA_001618865.1","Luteitalea","Luteitalea pratensis",1462,0,"NO","VC",NA,NA,0,0,0,0,0,383,0,325,355,316,0,0,0,0,0,560
"dsDNA_phage_380",19080,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1493,0,"NO","VC",NA,NA,0,0,536,0,6240,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_381",10682,"Low-quality","LYTIC",0,0,1,NA,NA,NA,990,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,1663,0,0,0,0
"dsDNA_phage_382",20861,"Low-quality","LYTIC",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1348,0,0,0,0,0,0,0,0,0
"dsDNA_phage_383",11790,"Low-quality","LYTIC",0,0,1,"GCA_002844315.1","Candidatus","Candidatus Hodgkinia cicadicola",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,605,0,156,0,0,0,0,0
"dsDNA_phage_384",12513,"Not-determined","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0
"dsDNA_phage_385",12176,"Low-quality","LYTIC",0,0,1,"GCA_000494755.1","Actinoplanes","Actinoplanes friuliensis DSM 7358",NA,NA,NA,NA,NA,NA,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_386",11992,"Low-quality","LYTIC",0,0,1,"GCA_001542625.2","Streptomyces","Streptomyces griseochromogenes",NA,NA,NA,NA,NA,NA,0,0,0,0,403,0,710,0,0,0,0,0,0,0,0,0
"dsDNA_phage_387",10662,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2658,0,0,0,0
"dsDNA_phage_388",15078,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_389",11784,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,466,0,0,0,0,0,0,0,0,0,1225,0,0,0,0
"dsDNA_phage_39",11003,"Low-quality","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,0,0,243,0,0,0,143,0,0,152,138,170,0,0,0
"dsDNA_phage_390",14695,"Not-determined","LYTIC",0,0,1,"GCA_000963495.1","Pseudomonas","Pseudomonas fluorescens PICF7",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4126,0,0,0,0
"dsDNA_phage_391",99405,"Complete","LYTIC",0,1,1,NA,NA,NA,713,5,"NO","VC",NA,NA,0,9901,0,0,0,0,0,0,0,0,0,268548,1904,0,0,0
"dsDNA_phage_392",22599,"Low-quality","LYTIC",0,0,1,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",948,0,"NO","OUTLIER",NA,NA,0,0,0,0,4239,0,0,0,0,0,0,0,0,0,0,0
